,Product_title,Product_image_URL,Product_brand,Product_Rate,Product_Rating,Product_price,Product_ASIN,Product_BSR,Number of sold of in a month,Product Specification,Product Description
0,"14K Gold Filled Small Hoop Earrings for Cartilage Nose, Tiny Thin 7mm Piercing Hoop Ring 22 Gauge",https://m.media-amazon.com/images/I/51JD9C19OuL._SY800_.jpg,none,4.0,"6,586",$12.98,B08FHS3537,#1,3K+,"Production Method	Designed and handmade and polished in my home office by myself
Metal stamp	No Metal Stamp
Metal	Gold Filled
Material	Yellow Gold
Clasp	No Clasp Type
Back finding	Endless
Resizable	No",none
1,Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Products for Extra Small Four Legged Child Necklace Chain Anti-Lost Shiny Stainless Steel Charm,https://m.media-amazon.com/images/I/61pFszChatL._SY500_.jpg,Acatinthetree,4.7,"17,042",$5.98,B096G34R6P,#1,1K+,"Color	Shiny Steel
Material	steel, brass","♡ ♡ ♡ ♡ ♡ ♡

As pet owners, what you need to worry is what would happen if your fur-baby went missing?
Personalized pet id tags are one of the best ways to ensure the safe return of our fur-baby..

♡ ~"
2,"Locsanity Daily Moisturizing Refreshing Spray for Locs, Dreadlocks - Rose Water and Peppermint Hair Scalp Moisturizer, Dreadlock Spray - Natural Loc Care and Maintenance (8oz)",https://m.media-amazon.com/images/I/71AjWeiRw6L._SY500_.jpg,none,4.5,"5,275",$19.99,B07GX1JKNB,#1,4K+,"Width	3 inches
Height	6 inches
Length	3 inches
Item Form	Spray
Scent	Peppermint,Rosewater
Mintage	8.00 Fl Oz",none
3,"Jar of Fucks（5oz）Gift Jar,Fucks to Give,Fuck Wooden Cutout Letter Piece Bad Mood Vent Spoof Birthday Day,Holiday, Gift to Friend,Funny Gift,Valentines Day.",https://m.media-amazon.com/images/I/71nhgb4fILS._SY500_.jpg,KUMLENMO,4.9,756,$13.99,B09HT6ZC7K,#1,5K+,"Width	2.3 inches
Length	4.4 inches
Material	Wood
Number Of Sets	1","Using responsibly sourced wood, each jar is lovingly filled with laser-cut fucks And the laser carved wooden card ""fucks to give"""
4,"3mm Tiny CZ Screw on Flat Back Stud Earrings,14K Gold Flat Back Cubic Zirconia Earrings for Helix Cartilage Tragus Earlobe Piercing Jewelry Gift for Women Girls Toddlers(3mm CZ, Gold)",https://m.media-amazon.com/images/I/31S5sIKbkiL._SY500_.jpg,none,4.4,512,$11.95,B0BVQCW7J4,#1,none,"Metal stamp	18K
Metal	stainless-steel-and-gold
Gem Type	Cubic Zirconia
Setting	4 Prong
Back finding	Screw Back
Resizable	No","Flat Screw Back Cubic Zirconia Cartilage Earrings are Made of 316L Surgical Stainess Steel,Nickle Free and Lead Free,Safe to Sensitive Ears,100% Handmade Tiny CZ Earrings-Tragus/Cartilage/Conch/Helix-Dainty Piercing."
5,"Earrings for Women Spiral threader earrings 14K gold earrings hand bent dangle earrings for women，suitable for gift giving, perfect for your birthday party, Christmas, gift giving.",https://m.media-amazon.com/images/I/51H0wYp+XSL._SY500_.jpg,MEINESQIS,4.2,"1,068",$7.99,B0BFX6JTS6,#1,none,none,none
6,"Wedding Gifts for Couples 2023, Mr and Mrs Gifts - 'Mr & Mrs Est. 2023' Candle, w/Champagne on Ice I Unique Newlywed Wedding Gifts for Couple I Wedding Shower Gifts Bride & Groom I 50Hr Burn,USA Made",https://m.media-amazon.com/images/I/81ioy9dF25L._SY800_.jpg,none,4.7,719,$21.95,B0BPMZTF6N,#1,1K+,Scent	Champagne on Ice,none
7,"14k Gold Filled 20G Double Hoop Nose Ring for Single Piercing, 20 Gauge Small Thin 8mm Spiral Nose Jewelry for Women Men",https://m.media-amazon.com/images/I/51Dx7Na9rHL._SY500_.jpg,none,3.7,"5,211",$12.98,B09PMF1H3P,#1,1K+,"Metal	Gold Filled
Clasp	No Clasp Type
Back finding	Endless
Resizable	No",none
8,"Discovered Designs Mailbox Number (White 3"" Number, 1) Premium 3D Acrylic Self Stick House Numbers for Outside Modern Address Numbers for Mailbox Numbers For Outside Modern Sticker",https://m.media-amazon.com/images/I/61npKpLut7L._SY500_.jpg,none,4.7,208,$3.99,B0BHF89GW6,#1,none,"Color	White 3"" Number",none
9,"Small Gold Nose Ring Hoop for Women, Tiny Thin 14k Gold Filled Nose Piercing Hoop Jewelry 7mm 22G",https://m.media-amazon.com/images/I/61glCD+Yb8L._SY500_.jpg,none,4.1,"1,164",$8.49,B09891VNFX,#2,900+,"Production Method	All nose rings are handmade and polished by myself
Metal stamp	No Metal Stamp
Metal	Gold Filled
Material	925 sterling silver
Clasp	No Clasp Type
Back finding	Endless
Resizable	No",none
10,"Birthday Gifts For Women, Happy Birthday Gift Basket Tumbler Relaxation Gifts For Women Mom Best Friend Sister Gifts, Mothers Day Gifts From Daughter, Christmas Gifts For Women Who Have Everything",https://m.media-amazon.com/images/I/81WIC-fi0yL._SY500_.jpg,none,4.8,215,$17.99,B0BXGJLK8P,#1,none,"Width	9 inches
Height	3.9 inches
Length	9.4 inches
Pattern	Gifts for Women
Color	Pink
Material	Stainless Steel
Scent	Lavender
Number Of Sets	6
Number Of Pieces	6",none
11,"WAX & WIT Fall Candles, Pumpkin Spice Candles for Home, Autumn Candle, Pumpkin Candle, Fall Scented Candles for Home, Fall Home, Bathroom Decor, Autumn Decor, Hello Pumpkin, Hello Fall - 9oz",https://m.media-amazon.com/images/I/71nMitzYH8L._SY500_.jpg,none,4.5,"1,004",$19.95,none,#1,1K+,"Production Method	Hand poured with care in the USA
Size	One Size
Width	3 inches
Height	5 inches
Length	3 inches
Color	FALL: Pumpkin Spice
Material	100% Soy Wax
Scent	FALL: Pumpkin Spice
Number Of Pieces	1",none
12,"Sweet Water Decor Hello Fall Candle | Cinnamon, Apples, and Clove Autumn Scented Soy Candles for Home | 9oz Clear Jar, 40 Hour Burn Time, Made in the USA",https://m.media-amazon.com/images/I/712Rlev1LUL._SY500_.jpg,none,4.3,"1,702",$19.99,B07TJKD2BK,#2,2K+,"Production Method	Our candles are made to be gluten, lead, and phthalate free with American grown soy wax blend. They are all poured in Pittsburgh, PA, USA.
Size	204g
Width	2.75 inches
Height	3.5 inches
Length	2.75 inches
Color	White
Material	Soy Wax Blend
Scent	Hello Fall",none
13,"Sweet Water Decor, OMG, You're Engaged! | Tropical Fruits, Sugared Citrus, Mountain Green Scented Soy Wax Candle for Home | Engagement Gift | 9oz Clear Jar, 40 Hour Burn Time, Made in the USA",https://m.media-amazon.com/images/I/817FI6dHp-L._SY500_.jpg,none,4.7,"7,066",$19.99,B08TMKWPJS,#3,1K+,"Size	9 oz
Color	Clear
Material	soy wax
Scent	Island Air",none
14,"Personalized Custom Wood Name Sign, Nursery Name Sign, Family Name Signs, Choice of Size & Fonts!",https://m.media-amazon.com/images/I/71BOzLCe4GL._SY500_.jpg,Generic,4.6,"1,737",$9.99,B09TJNL15Z,#2,none,none,Our customized wooden name signs are created by top quality 1/2 inch baltic birch plywood or 1/2 Inch MDF. All signs are custom cut and sanded and ready for paint as soon as received. All Signs come unpainted. Signs over 46 inches will be done in 2 pieces to allow for handling.
15,"40th Birthday Card - Vintage 1983 40th Birthday Decorations Women or Men, 40th Birthday Gifts Women, Unique 40th birthday Gifts Men or Anniversary - Includes 5x7 inch Card & Envelope by Katie Doodle",https://m.media-amazon.com/images/I/81ndKqBWyrL._SY800_.jpg,none,4.8,228,$8.99,B0C5FMWV7Z,#1,none,"Size	5x7 inch
Color	Multi",none
