,Product_Location_in_Tree,Product_title,Product_image_URL,Product_brand,Product_Rating,Number_of_Customer_review,Product_price,Product_Dim,Product_ASIN,Product_Item_Model_number,Product_Department,Product_Date_First_Available,Product_manufacturer,Country_Origin,UPSPSC_Code,Product_BSR,Number of sold of in a month,Product Specification,Product Description
0,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases›Card Cases","Mountain Voyage Minimalist Wallet for Men - Slim RFID Wallet I Scratch Resistant, Credit Card Holder & Money Clip, Easily Removable Money & Cards, Mens Wallets",https://m.media-amazon.com/images/I/61-G-kpQuGL._AC_UX679_.jpg,none,4.6,"20,237",$33.68 ,0.35 x 2.1 x 3.4 inches; 3.28 Ounces,B0C5SGCG11,MVC 123,mens,23-Feb-22,Mountain Voyage Co,none,none,#1,none,none,"Mountain Voyage - Army Green Credit Card Wallet for Men
The perfect combination between elegance and functionality
OUR STORY
Mountain Voyage Co. focus on providing state-of-the-art and affordable accessories that are meant to make your life easier, and that combine functionality with style. Our dedication to outstanding craftsmanship, premium materials, and innovative designs ensures our products stand the test of time and will be the perfect accessory for years to come.
SLIM MINIMALIST WALLET FOR EVERY OCCASION
Versatile in use and in style, Mountain Voyage make minimalist, stylish wallets, suitable for all occasions. Our money clip wallet with credit card holder is sleek and attractive but designed with practical use in mind. Delivered in a deluxe black box our slim wallets for men make superb gifts for your anniversary, Christmas, Father’s Day, groomsmen, and other special occasions!
PROTECT YOUR FINANCES WITH A RFID WALLET
In addition to the sleek design, users love our RFID credit card holder for its data protection technology. Built into each wallet is advanced RFID technology which protects your valuable information stored on RFID chips from unauthorized scanning. The RFID blocker technology is tested and approved so you can trust that it will keep your data safe.
Still not convinced – here are the highlights of the product:
Dimensions: 3.4 x 2.1 x 0.35 inches
Material: Aluminum
Convenient Money Clip
RFID Blocking Protection
Slim Minimalist Design
Elegant and Modern
Includes Superb Black Box Packaging
You’ll fall in love instantly with this deluxe slim wallet – order one today!"
1,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Buffway Slim Minimalist Front Pocket RFID Blocking Leather Wallets for Men and Women,https://m.media-amazon.com/images/I/81p7HwDZwrL._AC_UY879_.jpg,none,4.6,"98,103",$15.99 ,0.05 x 3.5 x 4.6 inches; 1.2 Ounces,B0CJLWRH9H,BW-WL-922,mens,22-Sep-23,Buffway,none,none,#2,6K+,none,"International products have separate terms, are sold from abroad and may differ from local products, including fit, age ratings, and language of product, labeling or instructions."
2,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",RUNBOX Slim Wallet for Men Slim 11 Credit Card Holder Slots Leather Money Clip RFID Blocking Small Thin Red Men's Wallet Bifold Minimalist Front Pocket Large Capacity Gift Box Carbon,https://m.media-amazon.com/images/I/71kGNbTbfUL._AC_SX679_.jpg,none,4.4,"2,405",$11.99 ,none,none,none,none,none,none,none,none,none,10K+,none,none
3,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases",Travelambo Front Pocket Minimalist Leather Slim Wallet RFID Blocking Medium Size,https://m.media-amazon.com/images/I/81JzbxYXHzL._AC_UY879_.jpg,none,4.6,"46,130",$9.99 ,4.1 x 3.3 x 0.2 inches; 10 Ounces,B08H5KFPVR,None,Mens,1-Sep-20,PAVOI,none,none,#2,none,none,none
4,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Sorax Minimalist Slim Wallet for Men - Carbon Fiber Wallets For Men RFID Blocking - Credit Card Holder with Aluminum Money Clip,https://m.media-amazon.com/images/I/71XeVmu06VL._AC_UX679_.jpg,Sorax,4.4,"1,929",$9.95 ,0.86 x 3 x 4.25 inches; 3.53 Ounces,B09QZ2SPK9,None,unisex-adult,22-Jan-22,Sorax,none,none,#5,7K+,none,none
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
