,Item_link,Category_result,table_name
0,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Adhesive-Card-Holders/zgbs/wireless/21209106011/ref=zg_bs_nav_wireless_2_2407755011,Cell Phones & Accessories > Accessories > Adhesive Card Holders,CellPhonesAccessories_AdhesiveCardHolders
1,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Automobile-Chargers/zgbs/wireless/2407770011/ref=zg_bs_nav_wireless_3_2407759011,Cell Phones & Accessories > Accessories > Automobile Accessories > Automobile Chargers,CellPhonesAccessories_AutomobileChargers
2,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Automobile-Cradles/zgbs/wireless/7072562011/ref=zg_bs_nav_wireless_3_2407759011,Cell Phones & Accessories > Accessories > Automobile Accessories > Cradles,CellPhonesAccessories_Cradles
3,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Automobile-Accessory-Kits/zgbs/wireless/2407764011/ref=zg_bs_nav_wireless_3_7072562011,Cell Phones & Accessories > Accessories > Automobile Accessories > Kits,CellPhonesAccessories_Kits
4,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Automobile-Pads-Mats/zgbs/wireless/11139605011/ref=zg_bs_nav_wireless_3_2407764011,Cell Phones & Accessories > Accessories > Automobile Accessories > Pads & Mats,CellPhonesAccessories_PadsMats
5,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Automobile-Speakerphones/zgbs/wireless/7073957011/ref=zg_bs_nav_wireless_3_11139605011,Cell Phones & Accessories > Accessories > Automobile Accessories > Speakerphones,CellPhonesAccessories_Speakerphones
6,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Headphone-Adapters/zgbs/wireless/2267280011/ref=zg_bs_nav_wireless_3_21209107011,Cell Phones & Accessories > Accessories > Cables & Adapters > Audio Adapters,CellPhonesAccessories_AudioAdapters
7,https://www.amazon.com/Best-Sellers-Electronics-Lightning-Cables/zgbs/electronics/6795233011/ref=zg_bs_nav_electronics_4_2267280011,Cell Phones & Accessories > Accessories > Cables & Adapters > Lightning Cables,CellPhonesAccessories_LightningCables
8,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phone-OTG-Adapters/zgbs/electronics/21209126011/ref=zg_bs_nav_electronics_4_2267280011,Cell Phones & Accessories > Accessories > Cables & Adapters > OTG Adapters,CellPhonesAccessories_OTGAdapters
9,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-USB-Cables/zgbs/wireless/464394/ref=zg_bs_nav_wireless_3_21209126011,Cell Phones & Accessories > Accessories > Cables & Adapters > USB Cables,CellPhonesAccessories_USBCables
10,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Camera-Privacy-Covers/zgbs/wireless/21103668011/ref=zg_bs_nav_wireless_2_2407755011,Cell Phones & Accessories > Accessories > Camera Privacy Covers,CellPhonesAccessories_CameraPrivacyCovers
11,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Automobile-Chargers/zgbs/wireless/2407770011/ref=zg_bs_nav_wireless_3_2407761011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Automobile Chargers,CellPhonesAccessories_AutomobileChargers
12,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Battery-Charger-Cases/zgbs/wireless/7073958011/ref=zg_bs_nav_wireless_3_2407770011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Battery Charger Cases,CellPhonesAccessories_BatteryChargerCases
13,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Charging-Stations/zgbs/wireless/12557639011/ref=zg_bs_nav_wireless_3_2407770011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Charging Stations,CellPhonesAccessories_ChargingStations
14,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Portable-Power-Banks/zgbs/wireless/7073960011/ref=zg_bs_nav_wireless_3_12557639011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Portable Power Banks,CellPhonesAccessories_PortablePowerBanks
15,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Solar-Chargers/zgbs/wireless/2407762011/ref=zg_bs_nav_wireless_3_7073960011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Solar Chargers,CellPhonesAccessories_SolarChargers
16,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Wall-Chargers/zgbs/wireless/12557637011/ref=zg_bs_nav_wireless_3_2407762011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Wall Chargers,CellPhonesAccessories_WallChargers
17,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Wireless-Chargers/zgbs/wireless/21209124011/ref=zg_bs_nav_wireless_3_12557637011,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Wireless Chargers,CellPhonesAccessories_WirelessChargers
18,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Home-Button-Stickers/zgbs/wireless/21209119011/ref=zg_bs_nav_wireless_3_21209101011,Cell Phones & Accessories > Accessories > Décor > Home Button Stickers,CellPhonesAccessories_HomeButtonStickers
19,https://amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Charms/zgbs/wireless/2407779011/ref=zg_bs_nav_wireless_3_21209101011,Cell Phones & Accessories > Accessories > Décor > Phone Charms,CellPhonesAccessories_PhoneCharms
20,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Gaming-Controllers/zgbs/wireless/21209114011/ref=zg_bs_nav_wireless_3_21209102011,Cell Phones & Accessories > Accessories > Gaming Accessories > Controllers,CellPhonesAccessories_Controllers
21,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Gaming-Finger-Sleeves/zgbs/wireless/21209112011/ref=zg_bs_nav_wireless_3_21209114011,Cell Phones & Accessories > Accessories > Gaming Accessories > Finger Sleeves,CellPhonesAccessories_FingerSleeves
22,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Gaming-Joysticks/zgbs/wireless/21209113011/ref=zg_bs_nav_wireless_3_21209112011,Cell Phones & Accessories > Accessories > Gaming Accessories > Joysticks,CellPhonesAccessories_Joysticks
23,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Screen-Expanders-Magnifiers/zgbs/wireless/21209099011/ref=zg_bs_nav_wireless_3_21209113011,Cell Phones & Accessories > Accessories > Gaming Accessories > Screen Expanders & Magnifiers,CellPhonesAccessories_ScreenExpandersMagnifiers
24,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Gaming-Triggers/zgbs/wireless/21209115011/ref=zg_bs_nav_wireless_3_21209113011,Cell Phones & Accessories > Accessories > Gaming Accessories > Triggers,CellPhonesAccessories_Triggers
25,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Virtual-Reality-VR-Headsets/zgbs/wireless/14775002011/ref=zg_bs_nav_wireless_3_21209115011,Cell Phones & Accessories > Accessories > Gaming Accessories > Virtual Reality (VR) Headsets,CellPhonesAccessories_VirtualReality(VR)Headsets
26,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Grips/zgbs/wireless/21209098011/ref=zg_bs_nav_wireless_2_2407755011,Cell Phones & Accessories > Accessories > Grips,CellPhonesAccessories_Grips
27,https://www.amazon.com/Best-Sellers-Electronics-Headphone-Amps/zgbs/electronics/13880161/ref=zg_bs_nav_electronics_4_24046923011,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Amplifiers",CellPhonesAccessories_Amplifiers
28,https://www.amazon.com/Best-Sellers-Electronics-Headphone-Adapters/zgbs/electronics/2267280011/ref=zg_bs_nav_electronics_4_13880161,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Audio Adapters",CellPhonesAccessories_AudioAdapters
29,https://www.amazon.com/Best-Sellers-Electronics-Headphone-Cases/zgbs/electronics/2267281011/ref=zg_bs_nav_electronics_4_13880161,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Cases",CellPhonesAccessories_Cases
30,https://www.amazon.com/Best-Sellers-Electronics-Headphone-Earpads/zgbs/electronics/13880181/ref=zg_bs_nav_electronics_4_2267281011,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Earpads",CellPhonesAccessories_Earpads
31,https://www.amazon.com/Best-Sellers-Electronics-Headphone-Extension-Cords/zgbs/electronics/13880171/ref=zg_bs_nav_electronics_4_13880181,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Extension Cords",CellPhonesAccessories_ExtensionCords
32,https://www.amazon.com/Best-Sellers-Electronics-Earbud-In-Ear-Headphones/zgbs/electronics/12097478011/ref=zg_bs_nav_electronics_2_172541,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Headphones > Earbud Headphones",CellPhonesAccessories_EarbudHeadphones
33,https://www.amazon.com/Best-Sellers-Electronics-On-Ear-Headphones/zgbs/electronics/12097480011/ref=zg_bs_nav_electronics_2_12097478011,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Headphones > On-Ear Headphones",CellPhonesAccessories_OnEarHeadphones
34,https://www.amazon.com/Best-Sellers-Electronics-Open-Ear-Headphones/zgbs/electronics/99530371011/ref=zg_bs_nav_electronics_2_12097480011,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Headphones > Open-Ear Headphones",CellPhonesAccessories_OpenEarHeadphones
35,https://www.amazon.com/Best-Sellers-Electronics-Over-Ear-Headphones/zgbs/electronics/12097479011/ref=zg_bs_nav_electronics_2_99530371011,"Cell Phones & Accessories > Accessories > Headphones, Earbuds & Accessories > Headphones > Over-Ear Headphones",CellPhonesAccessories_OverEarHeadphones
36,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Item-Finders/zgbs/wireless/18022313011/ref=zg_bs_nav_wireless_2_2407755011,Cell Phones & Accessories > Accessories > Item Finders,CellPhonesAccessories_ItemFinders
37,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Lanyards-Wrist-Straps/zgbs/wireless/21209103011/ref=zg_bs_nav_wireless_2_2407755011,Cell Phones & Accessories > Accessories > Lanyards & Wrist Straps,CellPhonesAccessories_LanyardsWristStraps
38,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Anti-Dust-Plugs/zgbs/wireless/21209120011/ref=zg_bs_nav_wireless_3_21209105011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Anti-Dust Plugs",CellPhonesAccessories_AntiDustPlugs
39,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Home-Button-Stickers/zgbs/wireless/21209119011/ref=zg_bs_nav_wireless_3_21209120011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Home Button Stickers",CellPhonesAccessories_HomeButtonStickers
40,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Lens-Protectors/zgbs/wireless/21550399011/ref=zg_bs_nav_wireless_3_21209119011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Lens Protectors",CellPhonesAccessories_LensProtectors
41,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Repair-Kits/zgbs/wireless/21209121011/ref=zg_bs_nav_wireless_3_21550399011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Repair Kits",CellPhonesAccessories_RepairKits
42,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Replacement-Cell-Phone-Backs/zgbs/wireless/19633580011/ref=zg_bs_nav_wireless_4_2407780011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Replacement Parts > Back Covers",CellPhonesAccessories_BackCovers
43,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Replacement-Batteries/zgbs/wireless/7073959011/ref=zg_bs_nav_wireless_4_19633580011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Replacement Parts > Batteries",CellPhonesAccessories_Batteries
44,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Replacement-Cell-Phone-Screens/zgbs/wireless/19633579011/ref=zg_bs_nav_wireless_4_7073959011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Replacement Parts > Screens",CellPhonesAccessories_Screens
45,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-SIM-Card-Tools-Accessories/zgbs/wireless/14674869011/ref=zg_bs_nav_wireless_3_21209105011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > SIM Card Tools & Accessories",CellPhonesAccessories_SIMCardToolsAccessories
46,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Screen-Protectors/zgbs/wireless/2407781011/ref=zg_bs_nav_wireless_3_14674869011,"Cell Phones & Accessories > Accessories > Maintenance, Upkeep & Repairs > Screen Protectors",CellPhonesAccessories_ScreenProtectors
47,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Micro-SD-Memory-Cards/zgbs/wireless/3015433011/ref=zg_bs_nav_wireless_2_2407755011,Cell Phones & Accessories > Accessories > Micro SD Cards,CellPhonesAccessories_MicroSDCards
48,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Bedstand-Desk-Mounts/zgbs/wireless/23690040011/ref=zg_bs_nav_wireless_3_23690035011,Cell Phones & Accessories > Accessories > Mounts > Bedstand & Desk Mounts,CellPhonesAccessories_BedstandDeskMounts
49,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Camera-Mounts/zgbs/wireless/23690039011/ref=zg_bs_nav_wireless_3_23690040011,Cell Phones & Accessories > Accessories > Mounts > Camera Mounts,CellPhonesAccessories_CameraMounts
50,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Handlebar-Mounts/zgbs/wireless/23690037011/ref=zg_bs_nav_wireless_3_23690039011,Cell Phones & Accessories > Accessories > Mounts > Handlebar Mounts,CellPhonesAccessories_HandlebarMounts
51,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Shower-Wall-Mounts/zgbs/wireless/23690038011/ref=zg_bs_nav_wireless_3_23690037011,Cell Phones & Accessories > Accessories > Mounts > Shower & Wall Mounts,CellPhonesAccessories_ShowerWallMounts
52,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-External-Flashes/zgbs/wireless/23658830011/ref=zg_bs_nav_wireless_4_18007875011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Flashes & Selfie Lights > External Flashes,CellPhonesAccessories_ExternalFlashes
53,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Selfie-Lights/zgbs/wireless/23658829011/ref=zg_bs_nav_wireless_4_23658830011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Flashes & Selfie Lights > Selfie Lights,CellPhonesAccessories_SelfieLights
54,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Handheld-Gimbals-Stabilizers/zgbs/wireless/21209109011/ref=zg_bs_nav_wireless_3_21209100011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Handheld Gimbals & Stabilizers,CellPhonesAccessories_HandheldGimbalsStabilizers
55,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Lens-Attachments/zgbs/wireless/15124502011/ref=zg_bs_nav_wireless_3_21209109011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Lens Attachments,CellPhonesAccessories_LensAttachments
56,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Photo-Video-Kits/zgbs/wireless/21209110011/ref=zg_bs_nav_wireless_3_15124502011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Photo & Video Kits,CellPhonesAccessories_PhotoVideoKits
57,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Selfie-Sticks/zgbs/wireless/11139608011/ref=zg_bs_nav_wireless_3_21209110011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Selfie Sticks,CellPhonesAccessories_SelfieSticks
58,https://www.amazon.com/Best-Sellers-Cell-Phones-Accessories-Cell-Phone-Tripods/zgbs/wireless/11139610011/ref=zg_bs_nav_wireless_3_11139608011,Cell Phones & Accessories > Accessories > Photo & Video Accessories > Tripods,CellPhonesAccessories_Tripods
59,https://www.amazon.com/Best-Sellers-Electronics-MP3-Player-Cell-Phone-Audio-Docks/zgbs/electronics/13996491/ref=zg_bs_nav_electronics_3_689637011,Cell Phones & Accessories > Accessories > Portable Speakers & Docks > Audio Docks,CellPhonesAccessories_AudioDocks
60,https://www.amazon.com/Best-Sellers-Electronics-Portable-Bluetooth-Speakers/zgbs/electronics/7073956011/ref=zg_bs_nav_electronics_3_13996491,Cell Phones & Accessories > Accessories > Portable Speakers & Docks > Portable Bluetooth Speakers,CellPhonesAccessories_PortableBluetoothSpeakers
